,Product,Ratings,Reviews
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Light weight is what I wanted. I want to listen to news radio on my way to and from work. My Sony piece is great but it is a bit heavy on my standard. The ear cupping is not as comfy as my Sony. It is a bit small and tight. The exterior starts showing wear and tear. I guess it is because I always leave it in my backpack scratching with other items when it is not on my head. I have no complain about sound quality (for just listening to news radio?).It has being traveling with my ever since the day I received it.
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,1.0 out of 5 stars,"Sadly, the PLASTIC pins holding the speakers to the headband broke within three months of purchase, simply due to normal use. Completely dissatisfied. I won't be ordering these again...."
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,1.0 out of 5 stars,CHEAP!!! You get what you pay for!!! The foam ear piece covers came off after the first use. There is no way to reattach them. My son wont wear them as one has the foam ear piece and the other doesnt. DONT BUY
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,3.0 out of 5 stars,"I originally bought these in March of 2016 for use at work because I don't like having ear buds embedded in my ear for the long conference calls I sometimes have to take. The ear buds get uncomfortable after awhile. So the first pair I bought, I inadvertantly broke myself while working out. Unfortunately, after some months of use on the second set, the female part of assembly that allows the left ear piece to flex has now broken (Chipped Away), not through rough use or damage, but through regular use. The pin that inserts into the assembly will no longer stay in position, leaving the left ear piece dangling. The Audio quality was good both send and receive and they were comfortable. I liked these, and for the price they work, but this is the second set I've gone through in 6 months. I will be trying a different set next time."
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,"Could easily be a 5 star product for others, but I had to deduct a star as it puts a lot of pressure on your ears making it harder to wear for more than 3 hours at a time, and I bought these for use at my home computer.

But for the price, they are very good headphones and deliver nice sound quality, while allowing you to still hear others. I live with my grandparents and so it's important that I hear them if they yell up to me from downstairs."
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,"I use these headphones for listening to music, recording vocals, and mixing my vocals. They're very good quality and the headphones are so pretty! I ordered mine in light blue+purple and I just love the color. I don't have anything to complain about in terms of quality- I've only had a few pairs of headphones over the course of my life but these are the best-quality ones I have yet.

I've had them for almost a year and they haven't broken like some other customers have complained about. The only complaint I have is they hurt my ears after a while, but for only $20 what can you expect? I probably won't buy them again as I'm planning on upgrading all my equipment, but I'd definitely recommend these."
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,1.0 out of 5 stars,Only have had these for a few weeks and the ear cushion has already fallen off. Very unhappy with this product and my daughter was extremely disappointed.
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,1.0 out of 5 stars,Worst ever!! Padding for the ears constantly falls off and kid has a meltdown in the middle of traffic.. I pull over to continually fix the ear pads and I have a meltdown. Exposed wiring from headset to earpieces have begun to wear and break. Find something else!
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"These are fantastic headphones for children. We now have three different ones for my three children (ages 7-10 years old) and they are sturdy, reliable, easy to clean, and have fantastic sound. I am so happy with this purchase and highly recommend these headphones to others seeking quality headphones at a great price."
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,1.0 out of 5 stars,"Horrible. I have ordered several of these and they all fall apart within 8-10 months, but these lasted less than 3 months."
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Comfortable, and affordable!!!"
1,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Excellent headphones! I love lovers them😍 I ordered for same day delivery it came 9:50pm late but happy with everything! My sofa and reggaeton music sounds amazing on these overall great buy
2,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,"I have had these a little over a month, and I only use them a few times a week. Yesterday, they broke...the cushion around the ears came apart off the headphone. I don't know how to fix it. These were purchased on 1/17/17, and I feel they should of lasted longer. Unfortunate because I really liked these."
3,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,3.0 out of 5 stars,Wire controls are flimsy and broke but headphones still work. My daughter uses them everyday in school still.
4,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,2.0 out of 5 stars,I bought two of these I gave them both away. The sound is not very good - teenagers seemed to like them.
5,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"My girl loves it very much, this is her gift for school award: student of the month, thank you very much"
6,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,"Very pretty come with. Nice case. VERY comfortable for 8 year old
SHE loves them."
7,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Great headphones. Nice sound. Great quality.
8,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,Bought for a Christmas gift. My husband has been using them daily since!
9,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,5.0 out of 5 stars,We purchased these to replace a different pair that broke. Our favorite feature is the fact that they fold flat for travel or storage. My daughter likes how comfortable they are
0,Ailihen I35 Headphones with Microphone Stereo Lightweight Adjustable...,4.0 out of 5 stars,Very nice the sound is good and very comfortable to ware.
