,Comments,Date,Product,Ratings,Reviews,Title
9,One person found this helpful. Was this review helpful to you?, July 14 2017,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,"I was disappointed because these were not what I thought I was buying. I had the exact same experience as previous reviewer AYG from July 10th:

""I ordered MDRE9LP/BLK Earbuds. Instead of the normal Sony packaging they came in a weird little ziplock bag kind of thing with the text ""Original high quality best accessories"".On the back is the text ""Accessories There is no best only better products. Enjoy the best quality Made in China"". No mention of Sony on the packaging they came in anywhere. There is a label stuck on the back that says Sony black MADE IN CHINA. I opened them up and there are white earbuds inside, not black. They actually look more like MDRE9LP/GRAY. However, the printing on the side is so faint you can barely even see it and the parts don't seem to have a good fit. I actually had to put reading glasses on to read the logo. Sony is usually pretty good about making sure you can see their logo on their products and I don't think they usually ship them in a bag that says Best Accessories, Original High quality.""

Like AYG, I got white headphones instead of black, they came in strange packaging, and the sound quality is poor. I'm not even super picky about having perfect sound--but these crackle when I listen through them. Disappointing for sure.",Caution - You may not receive what you think you're buying...
,Comments,Date,Product,Ratings,Reviews,Title
0,Was this review helpful to you?, August 13 2014,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I would buy any brand of cheap earbuds, but they would fray before I'd finish using them.
Then I would exclusively buy Gummy brand because the sound quality was no different, but the rubber sheath covering the cord would last much longer.

Then the last Gummy gave out after a year or so and someone somewhere on the internet suggested these Sony earbuds.
The difference in sound quality is amazing! I didn't realize I'd been listening to poor quality sound for years until I bought this last month. They are a couple dollars more than the Gummy and they are worth it.",Best inexpensive earbuds I've owned so far.
1,Was this review helpful to you?, June 17 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I had used Sony ear buds before but they're different ear buds,but these pairs of earbuds work fine and I use them when I'm doing exercise.The only thing that really makes me like them a lot are the sponges that I put on each one of the earbud,and they stay in place I don't have to move them all the time to put them in place because the sponge keeps them in place.",I like the Sony earbuds
2,Was this review helpful to you?, August 28 2016,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"BEST HEAD PHONE I EVER USEDDDDDDD!!!!!!!!!!!!! Honestly I brought these because I need 8 more dollars for free shipping on Amazon. I didn't expect these to last too long, Its a year and half later and it still works like new. I mainly used Skull Candy head phones before for 2-3x the price and they would last me like 3 months to 1 year(RARELY). I use them a lot on the train, walking outside, and on my computer. Very good unexpected value.",BEST HEAD PHONE I EVER USEDDDDDDD
3,Was this review helpful to you?, October 31 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I am really happy with these Sony Ear Buds. I am enjoying using them to listen to audible books while walking my dog, music while writing, podcasts and for meditations before bed and the sound is crisp and clear. What has been wonderful is the ear buds have been very comfortable. I have petite ears so normally ear buds can either not fit well and cause discomfort but even when I am exercising, they remain in place and are comfortable the entire time! I have paid a lot more for ear buds in the past and they haven't worked as well or been as nice as these.",Really enjoying using these ear buds!
4,Was this review helpful to you?, July 18 2017,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,"I bought pair of these in three different colors. My absolute favorite ear buds. Previous pair I had lasted for three years. I only tossed them out because I thought they went bad, but it turns out my phone's headphone jack went bad. So, who knows how long that pair could have lasted.

If you're looking for a lot of bass in your ear buds or headphones, this isn't the pair for you.",The only ear buds I use
5,Was this review helpful to you?, February 8 2018,Sony MDRE9LP/BLK Ear Buds,5.0 out of 5 stars,LOVE LOVE LOVE these. I know a lot of people prefer silicone buds these days but those never stay in my ear. These are the perfect for my ears and they never fall out. Sound quality isn't complete trash too. If they came with a mic they're be perfect.,My only solution to earphones
6,One person found this helpful. Was this review helpful to you?, April 1 2015,Sony MDRE9LP/BLK Ear Buds,4.0 out of 5 stars,"I like the fact that these don't have to be plugged in the earhole(, and scraping parts of it). The sound quality is sufficiently clear and comforable to wear and light. I have 2 sets of these at any one time. 1 set will become defective in 12 months; either one side starts to give off no sound. I just replacement it again and again.

But for the price, it can't be beat and a good replacement.","Great for the price, clarity and comfort but disposable"
7,Was this review helpful to you?, December 11 2014,Sony MDRE9LP/BLK Ear Buds,1.0 out of 5 stars,"I was looking for earbuds at the price/quality of my trusty old sony mdr818. Unfortunately, sony stopped making them so I thought I would try these mdre9lp. Sadly, there is no comparing the two. Maybe I got defective ones, but the build quality of the ones I received are so bad compared to the 818s. The wires and their connections are thin and flimsy - maybe lightly better than what you'd get for free on an airplane. The sound quality is also poor, like tin cans compared to the 818s. Even without the foam tips, the 818s have more base and full sound than these. So disappointed.",So disappointed - crap compared to the old mdr828's
